LOGRADOURO,LOT./CON,NOME DO LOTEAMENTO/BAIRRO/CONDOMINIO,UBS DE REFERENCIA,CEP
RUA MARIANA PITON ANDREOLI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278064
RUA ARMANDO FOGAGNOLI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278142
RUA DR. TELÊMACO PAIOLI MELGES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278135
RUA LUIZ CARLOS RODRIGUES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278081
RUA JONAS ANGELO BOTURA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278136
RUA JULIA OSTANELLI FAVRIN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278065
ALAMEDA ANGELINDO BERNARDO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278102
AVENIDA ANTONIO RIBEIRO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA LEONOR FALSARELLA OLIVO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278131
AVENIDA MARGINAL C,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278122
RUA NICOLA ANSELMI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278112
RUA PADRE ÂNGELO MARIGUETO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278113
RUA ROSA BARBISAN BERNARDO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278101
AVENIDA NELSON MARTINI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278143
RUA ROMÃO TRIGO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278071
RUA PEDRO ALVES PEGO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278070
RUA JOÃO LANDO NETO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278075
RUA EGAS CORREIA VIANNA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278060
RUA SEBASTIAO V. DE ANDRADE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278110
RUA CLEUZA MENEGON CANCIAN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278011
RUA ARCADAS DO LARGO SAO FRANCISCO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278021
RUA GERVÁSIO MANOEL CÂNDIDO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278080
RUA VANESSA CRISTINA ANSELMI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278083
RUA LUIZ DE CAMPOS SERRA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278033
RUA PAULO FERNANDO TETTI DE BARROS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278063
RUA ANTONIO CARLOS BRIGEIRO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278040
RUA JOAO BROCANELLI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278043
RUA ARIOVALDO ANTONIO BUCATTE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278041
RUA CAETANO OLIVO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278134
AVENIDA DR ANTONIO BENTO FERRAZ,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278160
RUA SALVADOR COCO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278044
RUA MANUEL DE JESUS MENDES (MANECO),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278001
RUA DOMINGOS ANGELI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278012
RUA JOABO PERA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278042
RUA DR. JOSÉ CARLOS DE PAULA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278062
ESTRADA LUIZ FURLAN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278020
RUA TEREZA VECHIATTI TRIGO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278072
RUA CATHARINA FARSARELLA GALLEGO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278073
RUA DR. ADILSON RICARDO ZILLETE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278137
RUA MARCIO VALERIO FINHOLDT,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278076
RUA MARIA DA CONCEICAO CANDIDO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278082
VIA CONDOTTI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278290
ALAMEDA GEORGE V,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278272
RUA JOAO ARGENTONE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278138
RUA JOÃO ROMANETTO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278139
RUA DR. GUILHERME CAMPOS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278140
RUA JOSÉ RIELLI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278171
ESTRADA MUNICIPAL MARIA ROMANO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13274762
RUA PRF ORLINDA M.DE SOUZA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA ELISA WOLF DEGELO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278325
RUA VITALINO ZEOLE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278351
ALAMEDA ITAMBE CH. JOAPIRANGA II,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA DOS SUECOS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271421
RUA ARTHUR MAMPRIN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278355
ALAMEDA ST. ROMAN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA JOAQUIM DE OLIVEIRA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270385
RUA CARLOS PENTEADO STEVENSON,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271510
ALAMEDA ST. DEVATE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA GENERAL OSÓRIO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271130
RUA SAMUEL FRAGOSO COIMBRA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271280
RUA DOS POLONESES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271405
RUA LUIZ DORIVAL CEDRAN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271391
RUA LUIZ DE OLIVEIRA SOUZA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271390
RUA DOS BOLIVIANOS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271400
RUA ANTONIO CENTIOLI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271392
RUA DOS ITALIANOS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271415
RUA DOS PORTUGUESES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271414
RUA DOS ALEMÃES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271412
RUA TEREZINHA M. CASTELLUBER,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270360
RUA FELIPE SPADACCIA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270362
RUA RAYMUNDO BISSOTO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270320
RUA RUI BARBOSA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270340
RUA JOSÉ MILANI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270200
RUA LAZARA DA CRUZ BARBOSA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271240
RUA GUILHERME YANSEN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271230
RUA JOÃO CAPOVILLA FILHO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271330
RUA BORTHOLO OLIVO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271310
RUA LÁZARA DA CRUZ BARBOSA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271240
RUA LUIZA R. BRANDINI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270293
RUA FILOMENA PASTORI MOLON,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270290
RUA NARCISO BONON,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270291
RUA CARMELINA PREVITALE PERA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270185
RUA IGNÁCIO SPADACCIA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270520
RUA ANGELO CAPELLATO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13276050
RUA JOSÉ EZEQUIEL DA SILVA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270294
RUA ITÁLIA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270180
RUA DOS HOLANDESES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271423
RUA TEREZA V. ZUBEN ANGARTEN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270364
RUA AMIN SABIE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270370
RUA TRINTA E UM DE MARCO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270372
RUA PEDRO CARLOS CAGLIARI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270500
RUA JOÃO LUIZ UNGARETTI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270363
RUA JOSE AUGUSTO R. MOREIRA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270450
RUA ANTONIO ANTONIAZZI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270440
RUA JOSE ELIAS O. ANDRADE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA DOS CANADENSES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271442
RUA DOS ARGENTINOS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271443
RUA DOS FRANCESES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271410
RUA VITÓRIA COLOMBO ROSSI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270260
RUA DOM PAULO DE TARSO CAMPOS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270240
RUA ALEXANDRE PEDRONI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271341
RUA RICARDO SPERANCIN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270230
RUA MODESTA POLLI MARTINS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270280
RUA VITAL BRASIL,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271190
RUA PAULO SETUBAL,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271070
RUA PRF AMERICO BELLUOMINI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270373
RUA JOAO DAL BIANCO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270380
RUA 5 (MILLENNIUM),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13272614
RUA PEDRO ZANIVAN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271500
RUA DOS CHILENOS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271422
RUA DOS NORUEGUESES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271420
RUA DOS BRASILEIROS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271444
RUA DOS LIBANESES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271441
RUA SILVINO POLLI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271502
RUA PATR. SILVIA HELENA VERDO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271501
RUA HUMBERTO ANTONIAZZI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270391
RUA ANTONIO PERSEGHETTI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270390
RUA MIGUEL ABIB KELLESLI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270371
RUA DOS AUSTRIACOS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271424
RUA DOS SUICOS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271425
RUA ASSUERO PERA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270383
RUA CAETANO CAPOVILLA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270384
RUA JOSÉ BARBOSA DE OLIVEIRA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270382
RUA VICENTE DE PAULA BAUMANN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270296
RUA MANOEL ESTABINO DO NASCIMENTO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271290
RUA FIORAVANTE B. MAGLIO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271260
RUA VIRGÍNIO CREMASCO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271320
RUA JOAQUIM MARTINS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13277124
RUA ANTONIO BERTOLLI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278201
AVENIDA SANS SOUCI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278230
RUA RENNES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278271
RUA ANTONIO CARLOS DE ALMEIDA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278203
RUA PROFESSOR ATALIBA NOGUEIRA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270660
RUA PEDRO ALVARES CABRAL,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13277010
RUA JAYME LEONARDO AMGARTEN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278365
RUA MARIA BEDIN DE SOUZA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278363
RUA AMÉRICO ANGELI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278362
RUA LUIZ GALDIN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278361
RUA ANGELO ZEOLE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278360
RUA EUCLIDES DA CUNHA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270330
PRAÇA QUINTINO BOCAIUVA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270359
RUA JOSE MORASSI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270361
RUA INACIO PREGENTINO DE AQUINO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278031
ALAMEDA ITAUNA CH.JOAPIRANGA II,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA VOLUNTÁRIO AMADOR LOURENÇO (DODA),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271393
RUA DOS ESPANHOIS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271413
RUA DOS IRLANDESES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271411
RUA OSWALDO MUSOLINI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278130
RUA JOÃO BENEDITO RODRIGUES DE SOUZA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278114
ALAMEDA ALECRINS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
ALAMEDA 4 (VILLAGIO FLORENÇA),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
ALAMEDA 1 (VILLAGIO FLORENÇA),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
ALAMEDA 3 (VILLAGIO FLORENÇA),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
ALAMEDA IPES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
ALAMEDA PETUNIAS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
ALAMEDA AYPORES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
ALAMEDA MÔNACO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA ANGELO PERSEGHETTI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13277150
AVENIDA CHAMPS ELYSÉES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278250
ALAMEDA 2 (VILLAGIO FLORENÇA),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA 1 (MILLENNIUM),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13272717
RUA 6 (MILLENNIUM),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13272615
RUA 4 (MILLENNIUM),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13272467
RUA 2 (MILLENNIUM),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13272611
RUA 7 (MILLENNIUM),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13272616
RUA 3 (MILLENNIUM),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13272612
RUA CARLITO ANTONIO VENTURINI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278321
ALAMEDA JANDYRA TEIXEIRA LOPES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278412
RUA ANTONIO MARCHI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
ALAMEDA 5 (VILA TOSCANA),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
ALAMEDA 1 (VILA TOSCANA),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
ALAMEDA 2 (VILA TOSCANA),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
ALAMEDA 4 (VILA TOSCANA),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
ALAMEDA 3 (VILA TOSCANA),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
ALAMEDA MONTPARNASSE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278251
RUA ANTONIO PEREIRA DA SILVA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278032
RUA ROBERTO BERNARDO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278132
VIA DEL CORSO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278231
RUA JOSÉ GASQUE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271581
RUA LUIZ CARLOS BRUNELLO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278074
ESTRADA DUILIO BELTRAMINI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278078
RUA ELIZA G. SIGNORETTO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA MARIA DE JESUS MADIA FRARE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271654
RUA WALDEMAR ALCIDES LOVIZARO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271655
RUA JOÃO UBIALI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271656
AVENIDA OLGA SABIE VILELA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278310
RUA DOS JAPONESES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271440
AVENIDA BRASIL, LOTEAMENTO, VILA SANTANA, UBS VILA SANTANA, 13274010
RUA BAHIA, LOTEAMENTO, VILA SANTANA, UBS VILA SANTANA, 13274020
RUA RIO GRANDE DO SUL, LOTEAMENTO, VILA SANTANA, UBS VILA SANTANA, 13274110
RUA SÃO PAULO, LOTEAMENTO, VILA SANTANA, UBS VILA SANTANA, 13274115
RUA SÃO PAULO, LOTEAMENTO, VILA SANTANA, UBS VILA SANTANA, 13274013
RUA MINAS GERAIS, LOTEAMENTO, JARDIM CELANI, UBS VILA SANTANA, 13274080
RUA MATO GROSSO,LOTEAMENTO,VILA SANTANA, UBS VILA SANTANA,13274120
RUA SANTA CATARINA,LOTEAMENTO,VILA SANTANA,UBS VILA SANTANA,13274120
RUA RIO DE JANEIRO,LOTEAMENTO,VILA SANTANA,UBS VILA SANTANA,13274140
RUA GOIÁS,LOTEAMENTO,VILA SANTANA,UBS VILA SANTANA,13274150
RUA BRASÍLIA,LOTEAMENTO,VILA SANTANA, UBS VILA SANTANA,13274008
RUA OROZIMBO MAIA, LOTEAMENTO, VILA SONIA, UBS VILA SANTANA, 13274000
RUA PARÁ, LOTEAMENTO, VILA SANTANA, UBS VILA SANTANA,
RUA ARTHUR FERNANDES, LOTEAMENTO, VILA SANTANA, UBS VILA SANTANA,13274040
RUA ROMANO BALDIN, LOTEAMENTO, JARDIM SÃO FELIPE, UBS VILA SANTANA,13274030
RUA JOAQUIM BETTI,LOTEAMENTO,PARQUE SANTANA,UBS PINHEIROS,13274250
RUA HORÁCIO AMARAL,LOTEAMENTO,JARDIM PINHEIROS,UBS PINHEIROS,13274360
RUA PIETRO STOPIGLIA,LOTEAMENTO,PARQUE SANTANA,UBS PINHEIROS,13274260
RUA PASCHOAL EVANGELISTA,LOTEAMENTO,PARQUE SANTANA,UBS PINHEIROS,13274271
RUA ALDINO BARTHOLO,LOTEAMENTO,JARDIM PINHEIROS,13274370




